iter	Passed	Remaining
571	27833	20826
572	27882	20778
573	27932	20730
574	27981	20681
575	28024	20629
576	28077	20583
577	28128	20536
578	28177	20487
579	28227	20440
580	28279	20394
581	28331	20348
582	28382	20300
583	28417	20242
584	28461	20190
585	28505	20139
586	28549	20086
587	28609	20045
588	28656	19996
589	28707	19949
590	28759	19903
591	28810	19855
592	28859	19807
593	28910	19760
594	28961	19713
595	29012	19665
596	29055	19613
597	29110	19569
598	29161	19522
599	29211	19474
600	29262	19427
601	29317	19382
602	29369	19336
603	29417	19286
604	29463	19236
605	29511	19187
606	29561	19139
607	29609	19090
608	29663	19044
609	29711	18995
610	29762	18948
611	29810	18899
612	29865	18854
613	29913	18805
614	29956	18753
615	30015	18710
616	30064	18662
617	30120	18618
618	30167	18568
619	30209	18515
620	30263	18469
621	30309	18419
622	30360	18372
623	30413	18325
624	30463	18278
625	30513	18230
626	30561	18181
627	30606	18129
628	30656	18081
629	30705	18033
630	30760	17988
631	30814	17942
632	30861	17892
633	30903	17840
634	30958	17795
635	31011	17748
636	31063	17701
637	31113	17653
638	31160	17603
639	31215	17558
640	31267	17511
641	31317	17463
642	31363	17413
643	31412	17364
644	31461	17316
645	31514	17269
646	31577	17228
647	31643	17188
648	31687	17137
649	31741	17091
650	31792	17043
651	31845	16997
652	31896	16949
653	31950	16903
654	32002	16856
655	32061	16812
656	32117	16767
657	32166	16718
658	32214	16669
659	32264	16621
660	32318	16574
661	32368	16526
662	32420	16479
663	32473	16432
664	32528	16386
665	32584	16341
666	32641	16296
667	32690	16247
668	32741	16199
669	32793	16152
670	32854	16108
671	32907	16062
672	32958	16014
673	33004	15963
674	33055	15915
675	33110	15869
676	33161	15821
677	33215	15774
678	33260	15724
679	33303	15672
680	33352	15623
681	33405	15576
682	33455	15527
683	33498	15475
684	33550	15428
685	33594	15376
686	33651	15331
687	33700	15282
688	33755	15236
689	33816	15192
690	33871	15146
691	33920	15097
692	33967	15047
693	34017	14999
694	34067	14950
695	34119	14902
696	34168	14853
697	34218	14805
698	34278	14760
699	34318	14708
700	34372	14661
701	34422	14612
702	34468	14561
703	34519	14513
704	34575	14467
705	34621	14417
706	34668	14367
707	34718	14319
708	34772	14271
709	34828	14225
710	34881	14178
711	34933	14130
712	34983	14081
713	35032	14032
714	35085	13984
715	35130	13934
716	35180	13885
717	35234	13838
718	35288	13791
719	35342	13744
720	35391	13695
721	35443	13647
722	35497	13600
723	35548	13551
724	35596	13502
725	35646	13453
726	35695	13404
727	35748	13356
728	35800	13308
729	35846	13258
730	35893	13208
731	35946	13160
732	35996	13111
733	36040	13061
734	36083	13009
735	36138	12962
736	36194	12916
737	36241	12866
738	36292	12817
739	36342	12769
740	36392	12720
741	36444	12672
742	36492	12622
743	36542	12573
744	36589	12523
745	36633	12473
746	36697	12428
747	36752	12381
748	36795	12330
749	36845	12281
750	36896	12233
751	36947	12184
752	37000	12136
753	37051	12088
754	37095	12037
755	37143	11988
756	37197	11940
757	37247	11891
758	37301	11844
759	37355	11796
760	37397	11745
761	37458	11699
762	37507	11650
763	37551	11599
764	37604	11551
765	37658	11504
766	37712	11456
767	37761	11407
768	37809	11357
769	37859	11308
770	37911	11260
771	37954	11209
772	37999	11159
773	38052	11110
774	38093	11059
775	38144	11010
776	38195	10962
777	38249	10914
778	38297	10865
779	38349	10816
780	38390	10764
781	38440	10716
782	38485	10665
783	38528	10615
784	38568	10563
785	38622	10515
786	38672	10466
787	38725	10418
788	38774	10369
789	38823	10320
790	38872	10271
791	38919	10221
792	38967	10171
793	39009	10120
794	39061	10072
795	39113	10024
796	39176	9978
797	39223	9928
798	39266	9877
799	39311	9827
800	39364	9779
801	39410	9729
802	39462	9681
803	39516	9633
804	39567	9584
805	39601	9531
806	39645	9481
807	39695	9432
808	39744	9383
809	39792	9334
810	39841	9284
811	39888	9235
812	39939	9186
813	39987	9137
814	40038	9088
815	40086	9039
816	40137	8990
817	40188	8941
818	40236	8892
819	40285	8843
820	40335	8794
821	40386	8745
822	40435	8696
823	40484	8647
824	40530	8597
825	40582	8548
826	40630	8499
827	40673	8449
828	40725	8400
829	40770	8350
830	40812	8300
831	40855	8249
832	40906	8200
833	40947	8150
834	40999	8101
835	41049	8052
836	41101	8004
837	41155	7955
838	41203	7906
839	41257	7858
840	41311	7810
841	41362	7761
842	41411	7712
843	41461	7663
844	41515	7615
845	41567	7566
846	41621	7518
847	41674	7470
848	41729	7421
849	41780	7372
850	41833	7324
851	41885	7275
852	41943	7228
853	41993	7179
854	42048	7131
855	42099	7082
856	42146	7032
857	42194	6983
858	42244	6934
859	42296	6885
860	42348	6836
861	42396	6787
862	42450	6738
863	42503	6690
864	42552	6641
865	42606	6592
866	42659	6544
867	42710	6495
868	42759	6445
869	42809	6396
870	42858	6347
871	42910	6298
872	42959	6249
873	43010	6200
874	43062	6151
875	43109	6102
876	43151	6051
877	43200	6002
878	43250	5953
879	43304	5905
880	43349	5855
881	43397	5806
882	43443	5756
883	43495	5707
884	43549	5658
885	43600	5610
886	43647	5560
887	43688	5510
888	43733	5460
889	43784	5411
890	43835	5362
891	43891	5314
892	43939	5264
893	43987	5215
894	44040	5166
895	44090	5117
896	44138	5068
897	44189	5019
898	44241	4970
899	44290	4921
900	44346	4872
901	44398	4823
902	44450	4774
903	44498	4725
904	44551	4676
905	44601	4627
906	44652	4578
907	44700	4529
908	44749	4479
909	44798	4430
910	44843	4380
911	44893	4331
912	44942	4282
913	44996	4233
914	45045	4184
915	45092	4135
916	45134	4085
917	45194	4036
918	45248	3988
919	45294	3938
920	45341	3889
921	45388	3839
922	45431	3790
923	45480	3740
924	45519	3690
925	45570	3641
926	45612	3591
927	45666	3543
928	45721	3494
929	45773	3445
930	45824	3396
931	45871	3346
932	45919	3297
933	45978	3249
934	46027	3199
935	46076	3150
936	46126	3101
937	46175	3052
938	46223	3002
939	46265	2953
940	46308	2903
941	46357	2854
942	46401	2804
943	46451	2755
944	46502	2706
945	46553	2657
946	46600	2608
947	46653	2559
948	46700	2509
949	46750	2460
950	46797	2411
951	46847	2362
952	46900	2313
953	46957	2264
954	47006	2214
955	47056	2165
956	47097	2116
957	47148	2067
958	47197	2017
959	47238	1968
960	47285	1918
961	47337	1869
962	47388	1820
963	47447	1771
964	47494	1722
965	47541	1673
966	47592	1624
967	47640	1574
968	47692	1525
969	47740	1476
970	47789	1427
971	47842	1378
972	47889	1328
973	47936	1279
974	47978	1230
975	48029	1181
976	48083	1131
977	48135	1082
978	48186	1033
979	48234	984
980	48283	935
981	48334	885
982	48382	836
983	48427	787
984	48476	738
985	48518	688
986	48562	639
987	48624	590
988	48681	541
989	48728	492
990	48778	442
991	48832	393
992	48882	344
993	48930	295
994	48975	246
995	49017	196
996	49067	147
997	49117	98
998	49167	49
999	49217	0
